E
VERSIO 3.3
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 51
NUMLIN 5
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI FILETE MIGNON
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 154
NUMLIN 6
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI SPARE RIBS ST. LOUIS
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 187
NUMLIN 7
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI PANZA KE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 109
NUMLIN 8
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI TRIPA DE LECHE KE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 47
NUMLIN 9
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CODILLO
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 162
NUMLIN 10
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CODILLO KE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 104
NUMLIN 11
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI RECORTE DE CARNE ESPECIAL
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 113
NUMLIN 12
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI BACK RIB R.T.
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 100
NUMLIN 13
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI RETAZO DE COSTILLA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 157
NUMLIN 14
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CUBOS CE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 68
NUMLIN 15
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI PELONAS VAC CONGELADA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 200
NUMLIN 16
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI CUERO SIN GRASA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 1055
NUMLIN 17
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI GRASA SIN UNTO
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 4029
NUMLIN 18
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI GRASA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 67
NUMLIN 19
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI ESPINAZO KE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 21
NUMLIN 20
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI MANITAS KE
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 24
NUMLIN 21
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI FILETE DE PAPADA
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 3175
NUMLIN 22
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI RECORTE DE CERDO VAC
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 126
NUMLIN 23
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI RECORTE CUBICADO D VAC
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 64
NUMLIN 24
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI RIB EYE SP
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

CANTID 54
NUMLIN 25
CVEPRODSERV 50111514
CVEUNIDAD KGM
DESCRI LOIN CHOP SP
UNIDAD KGM
VALUNI 0.00
IMPORT 0.00
PBRUDE 0.00
IMPBRU 0.00
TDECON 0.00
MDECON 0.00
TDECON0 0.00
MDECON0 0.00
TDECON1 0.00
MDECON1 0.00
TASIPE 0.00
TASIEP 0.00
MONIPE 0.00
MONIEP 0.00

R
SUBTBR 0.00
MONDET 0.00
PRCDSG 0.00
SUBTOT 0.00
SUBTAI 0.00
IVATRA 0.00
TOTIVA 0
TOTPAG 0.00
IVATRA1 0.00
TOTIVA1 0.00
TOTTRA 0.00

COM_CPT_INICPT
COM_CPT_VERSIO 2.0
COM_CPT_TRANINT No
COM_CPT_ENTSAL
COM_CPT_VIAENTSAL
COM_CPT_TOTDIST 360
COM_CPT_FT_CVETRANS 01

COM_CPT_INIUBI
COM_CPT_UBI_TIPUBI Origen
COM_CPT_UBI_IDUBI OR000001
COM_CPT_DISTREC360
COM_CPT_UBI_RFC AKO971007558
COM_CPT_UBI_NOM ALIMENTOS KOWI SA DE CV
COM_CPT_UBI_FECHA 2022-02-04T10:14:36
COM_CPT_DOM_CAL CARRETERA FEDERAL MEXICO-NOGALES
COM_CPT_DOM_COL 1013
COM_CPT_DOM_LOC 
COM_CPT_DOM_MUN 042
COM_CPT_DOM_EST SON
COM_CPT_DOM_PAI MEX
COM_CPT_DOM_CP 85230
COM_CPT_FINUBI

COM_CPT_INIUBI
COM_CPT_UBI_TIPUBI Destino
COM_CPT_UBI_IDUBI DE000001
COM_CPT_UBI_RFC AKO971007558
COM_CPT_UBI_FECHA 2022-02-05T00:00:00
COM_CPT_UBI_DISTREC 360
COM_CPT_DOM_CAL CABO SAN ANTONIO E/ SATURNINO CAMPOY Y JOSE MARIA MENDOZA
COM_CPT_DOM_COL 1654
COM_CPT_DOM_LOC 07
COM_CPT_DOM_MUN 030
COM_CPT_DOM_EST SON
COM_CPT_DOM_PAI MEX
COM_CPT_DOM_CP 83175
COM_CPT_FINUBI


COM_CPT_INIMERS 
COM_CPT_MER_PESBRU 11115
COM_CPT_MER_UNIPES KGM
COM_CPT_MER_NUMTOT 25
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI TOCINO N
COM_CPT_MER_CANTID 68
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 68
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 68
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI PIERNA S/H PULPA VAC
COM_CPT_MER_CANTID 852
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 852
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 852
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CARNE MOLIDA CASERA
COM_CPT_MER_CANTID 38
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 38
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 38
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CHULETA F
COM_CPT_MER_CANTID 90
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 90
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 90
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI FILETE MIGNON
COM_CPT_MER_CANTID 51
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 51
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 51
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI SPARE RIBS ST. LOUIS
COM_CPT_MER_CANTID 154
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 154
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 154
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI PANZA KE
COM_CPT_MER_CANTID 187
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 187
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 187
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI TRIPA DE LECHE KE
COM_CPT_MER_CANTID 109
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 109
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 109
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CODILLO
COM_CPT_MER_CANTID 47
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 47
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 47
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CODILLO KE
COM_CPT_MER_CANTID 162
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 162
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 162
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI RECORTE DE CARNE ESPECIAL
COM_CPT_MER_CANTID 104
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 104
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 104
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI BACK RIB R.T.
COM_CPT_MER_CANTID 113
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 113
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 113
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI RETAZO DE COSTILLA
COM_CPT_MER_CANTID 100
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 100
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 100
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CUBOS CE
COM_CPT_MER_CANTID 157
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 157
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 157
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI PELONAS VAC CONGELADA
COM_CPT_MER_CANTID 68
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 68
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 68
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI CUERO SIN GRASA
COM_CPT_MER_CANTID 200
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 200
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 200
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI GRASA SIN UNTO
COM_CPT_MER_CANTID 1055
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 1055
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 1055
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI GRASA
COM_CPT_MER_CANTID 4029
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 4029
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 4029
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI ESPINAZO KE
COM_CPT_MER_CANTID 67
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 67
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 67
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI MANITAS KE
COM_CPT_MER_CANTID 21
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 21
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 21
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI FILETE DE PAPADA
COM_CPT_MER_CANTID 24
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 24
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 24
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI RECORTE DE CERDO VAC
COM_CPT_MER_CANTID 3175
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 3175
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 3175
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI RECORTE CUBICADO D VAC
COM_CPT_MER_CANTID 126
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 126
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 126
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI RIB EYE SP
COM_CPT_MER_CANTID 64
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 64
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 64
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN
COM_CPT_INIMER
COM_CPT_MER_BIENTRA 50111514
COM_CPT_MER_DESCRI LOIN CHOP SP
COM_CPT_MER_CANTID 54
COM_CPT_MER_CVUNID KGM
COM_CPT_MER_PKG 54
COM_CPT_FINMER 

COM_CPT_INICANTRAN
COM_CPT_CMER_CANTID 54
COM_CPT_CMER_IDORI OR000001
COM_CPT_CMER_IDDES DE000001
COM_CPT_CMER_CVETRAN
COM_CPT_FINCANTRAN

COM_CPT_FINMERS 

COM_CPT_INIAUTO
COM_CPT_AUT_SCT TPAF02
COM_CPT_AUT_PSCT 2651NAL21072010073501010
COM_CPT_AUT_ASEGRESP QUALITAS COMPAÑÍA DE SEGUROS SA DE CV
COM_CPT_AUT_POLIRESP 910370585
COM_CPT_AUT_CONVEH C2
COM_CPT_AUT_PLACAV VC91023
COM_CPT_AUT_ANIOV 2015
COM_CPT_FINAUTO

COM_CPT_INIFIGTRA
COM_CPT_FIG_TIPFIG 01
COM_CPT_FIG_RFCFIG RULJ7805163R0
COM_CPT_FIG_NUMLIC SON0014525
COM_CPT_FIG_NOMFIG JUAN ANTONIO RUELAS LEYVA

COM_CPT_INIPARTRAN
COM_CPT_FIG_PARTRANS 02
COM_CPT_DOM_CAL  PASEO DE LOS SABINOS
COM_CPT_DOM_NUMEXT  24
COM_CPT_DOM_COL  2022
COM_CPT_DOM_LOC 09
COM_CPT_DOM_REF 
COM_CPT_DOM_MUN 042
COM_CPT_DOM_EST SON
COM_CPT_DOM_PAI MEX
COM_CPT_DOM_CP 85874

COM_CPT_FINPARTRAN

COM_CPT_FINFIGTRA

COM_CPT_FINCPT
